Business Name,Address,City,State,ZIP,Phone,Website,Contact Name,Source,Subcontractor #,Expiration Date,Work Categories
"KINSEL TRKG & EXCVTG, LLC",1675 E Walnut St,Canton,IL,61520-2381,309-647-2511,,,IDOT Subcontractor List (Dec 2025),18441,11/13/2026,Demolition; Drainage; Earthwork; Landscaping; Soil Stabilization and Modification; Tree Trimming and Selective Tree Removal
1ST CHOICE LAWN SERVICE INC.,263 Hampton Rd,Sugar Grove,IL,60554,630 466-3707,,,IDOT Subcontractor List (Dec 2025),17629,02/10/2026,Landscaping; Seeding & Sodding; Soil Stabilization and Modification; Vegetation Spraying
"A & W PLUMBING & HEATING, INC.",11 Alliance Ave,Murphysboro,IL,62966-3943,618-687-5862,,,IDOT Subcontractor List (Dec 2025),16824,08/07/2026,Concrete Construction; Demolition; Drainage; Earthwork; Other; Painting and Cleaning; Seeding & Sodding
A&A CONCRETE LLC,3107 N. Lincoln Avenue,Urbana,IL,60949,217-643-8233,,,IDOT Subcontractor List (Dec 2025),16654,04/01/2026,"Aggregate Bases and Surfaces; Concrete Construction; Earthwork; Pavement Patching; Sawing Cutting; Seeding & Sodding; Steel, Reinforcement (Rebar Placement)"
"A. HORN, INC.",125 Harrison Street,Barrington,IL,60010,(847) 382-4170,,,IDOT Subcontractor List (Dec 2025),14068,02/11/2026,Demolition; Landscaping; Other
AAA SILT FENCING INC.,400 E. Wapella Street,Minooka,IL,60447,(630) 399-5711,,,IDOT Subcontractor List (Dec 2025),12819,02/10/2026,Earthwork; Fencing; Landscaping; Other; Seeding & Sodding; Soil Stabilization and Modification
"ABBOTT TREE CARE PROFESSIONALS, LLC",P. O. Box 249,Wayne,IL,60184,(630) 681-8733,,,IDOT Subcontractor List (Dec 2025),11693,02/10/2026,Landscaping; Tree Trimming and Selective Tree Removal
ABI CONSTRUCTION LLC,1N069 Harriet St.,Carol Stream,IL,60188,630-233-4957,,,IDOT Subcontractor List (Dec 2025),16786,02/11/2026,"Aggregate Bases and Surfaces; Cold Milling, Planing and Roto Milling; Concrete Construction; Cover and Seal Coats; Demolition; Drainage; Earthwork; Installation of Raised Pavement Markers; Landscaping; Pavement Patching; Sawing Cutting; Seeding & Sodding; Steel, Reinforcement (Rebar Placement)"
ADRIATICA CONSTRUCTION COMPANY,42w312 Keslinger Rd,Elburn,IL,60119,(630) 310-7507,,,IDOT Subcontractor List (Dec 2025),17115,02/27/2026,Aggregate Bases and Surfaces; Drainage; Earthwork; Landscaping; Traffic Control
ALEXANDER BROTHERS CONSTRUCTION CORP,P.O. Box 1508,Peoria,IL,61655,(309) 453-3091,,,IDOT Subcontractor List (Dec 2025),10677,05/01/2026,"Aggregate Bases and Surfaces; Cold Milling, Planing and Roto Milling; Concrete Construction; Cover and Seal Coats; Demolition; Drainage; Earthwork; Electrical; Erection; Fencing; Guardrail; Installation of Raised Pavement Markers; Landscaping; Other; Painting and Cleaning; Pavement Markings; Pavement Patching; Sawing Cutting; Seeding & Sodding; Signing; Soil Stabilization and Modification; Steel, Reinforcement (Rebar Placement); Traffic Control; Tree Trimming and Selective Tree Removal; Vegetation Spraying"
ALLIED LANDSCAPING CORPORATION,3197 S CHICAGO ST,JOLIET,IL,60436,(815) 722-3924,,,IDOT Subcontractor List (Dec 2025),14454,03/04/2026,Landscaping
"ALVAREZ, INC.",15N497 Old Sutton Road,Barrington,IL,60010,(847) 551-1105,,,IDOT Subcontractor List (Dec 2025),11789,03/07/2026,Earthwork; Fencing; Landscaping; Painting and Cleaning; Seeding & Sodding; Soil Stabilization and Modification; Tree Trimming and Selective Tree Removal; Vegetation Spraying
AMERICAN DIRT COMPANY LLC,1146 Motz Street,Elburn,IL,60119,630-768-7104,,,IDOT Subcontractor List (Dec 2025),18404,08/28/2026,"Aggregate Bases and Surfaces; Cold Milling, Planing and Roto Milling; Concrete Construction; Cover and Seal Coats; Demolition; Drainage; Earthwork; Fencing; Landscaping; Pavement Markings; Pavement Patching; Sawing Cutting; Seeding & Sodding"
AMERICAN TREE SERVICE LLC,5711 Emerson Road,Sterling,IL,61081,815-622-8349,,,IDOT Subcontractor List (Dec 2025),18323,05/06/2026,Tree Trimming and Selective Tree Removal
AMPOL GROUP INTERNATIONAL INC,521 Santa Rosa Dr,Des Plaines,IL,60018,(773) 895-0903,,,IDOT Subcontractor List (Dec 2025),18271,03/20/2026,"Concrete Construction; Cover and Seal Coats; Demolition; Drainage; Electrical; Fencing; Guardrail; Landscaping; Painting and Cleaning; Pavement Markings; Pavement Patching; Sawing Cutting; Steel, Reinforcement (Rebar Placement)"
"AMRENT CONTRACTING, INC. DBA ACI X","P.O. BOX 315, 3981 STATE RT 3 NORTH",CHESTER,IL,62233,(618) 826-2854,,,IDOT Subcontractor List (Dec 2025),13112,02/18/2026,"Aggregate Bases and Surfaces; Cold Milling, Planing and Roto Milling; Concrete Construction; Drainage; Earthwork; Erection; Pavement Patching; Sawing Cutting; Seeding & Sodding"
ANA'S LANDSCAPING LLC,4322 S Richmond St,Chicago,IL,60632,(773) 677-8143,,,IDOT Subcontractor List (Dec 2025),17899,09/20/2026,Landscaping; Seeding & Sodding; Soil Stabilization and Modification
ARCHON CONSTRUCTION CO. INC.,563 S. Route 53,Addison,IL,60101,(630) 495-0015,,,IDOT Subcontractor List (Dec 2025),11424,02/21/2026,Concrete Construction; Drainage; Earthwork; Landscaping; Sawing Cutting; Seeding & Sodding
ARTEAGA LANDSCAPES & EROSION CONTROL LLC,33326 N Fairfield Rd,Round Lake,IL,60073,224-444-8675,,,IDOT Subcontractor List (Dec 2025),16338,03/04/2026,Earthwork; Landscaping; Seeding & Sodding; Soil Stabilization and Modification; Tree Trimming and Selective Tree Removal; Vegetation Spraying
ASE ILLINI-SCAPES INC,PO Box 1093,Oswego,IL,60543,(815) 355-3422,,,IDOT Subcontractor List (Dec 2025),15266,03/05/2026,Landscaping; Seeding & Sodding; Vegetation Spraying
"ASSOCIATED SERVICES ENTERPRISE, LLC",841 N. Galena Ave.,Dixon,IL,61021,(815) 288-6231,,,IDOT Subcontractor List (Dec 2025),17140,02/10/2026,Aggregate Bases and Surfaces; Concrete Construction; Demolition; Drainage; Fencing; Guardrail; Landscaping; Pavement Patching; Seeding & Sodding; Signing
BARRACUDA PLUMBING INC,712 N. ARDMORE AVE,VILLA PARK,IL,60181,(773) 799-5915,,,IDOT Subcontractor List (Dec 2025),18333,05/15/2026,"Aggregate Bases and Surfaces; Cold Milling, Planing and Roto Milling; Concrete Construction; Cover and Seal Coats; Demolition; Drainage; Earthwork; Erection; Fencing; Guardrail; Landscaping; Other; Pavement Markings; Pavement Patching; Sawing Cutting; Seeding & Sodding; Soil Stabilization and Modification; Steel, Reinforcement (Rebar Placement); Tree Trimming and Selective Tree Removal; Vegetation Spraying"
BEVERLY ENVIRONMENTAL LLC,16504 S Dixie Hwy,Markham,IL,60428,(708) 516-7826,,,IDOT Subcontractor List (Dec 2025),14531,02/10/2026,Landscaping; Seeding & Sodding; Tree Trimming and Selective Tree Removal; Vegetation Spraying
BLUE SPRUCE TREE CARE & CONSTRUCTION INC.,57 s baima st,Coal City,IL,60416,(815) 931-2064,,,IDOT Subcontractor List (Dec 2025),18360,06/23/2026,Tree Trimming and Selective Tree Removal
BMI CONTRACTORS AND ASSOOCIATES,1123 MacQueen ave,Peoria,IL,61604,(309) 657-4469,,,IDOT Subcontractor List (Dec 2025),15539,02/26/2026,Aggregate Bases and Surfaces; Concrete Construction; Demolition; Drainage; Earthwork; Fencing; Landscaping; Pavement Patching; Sawing Cutting; Soil Stabilization and Modification
BNH WORKS,1647 N Central Park Ave,Chicago,IL,60647,312-672-9652,,,IDOT Subcontractor List (Dec 2025),18357,06/23/2026,Concrete Construction; Demolition; Fencing; Landscaping; Painting and Cleaning; Tree Trimming and Selective Tree Removal
"BNK 1987, LLC",3730 E Mozart Rd,Woodlawn,IL,62898,(618) 322-2582,,,IDOT Subcontractor List (Dec 2025),18135,02/12/2026,"Aggregate Bases and Surfaces; Concrete Construction; Demolition; Drainage; Earthwork; Electrical; Fencing; Guardrail; Landscaping; Painting and Cleaning; Sawing Cutting; Seeding & Sodding; Soil Stabilization and Modification; Steel, Reinforcement (Rebar Placement); Tree Trimming and Selective Tree Removal; Vegetation Spraying"
BOST EXCAVATING INC.,163 Jamestown Rd,Pocahontas,IL,62275,(618) 781-8221,,,IDOT Subcontractor List (Dec 2025),17665,02/17/2026,Demolition; Earthwork; Tree Trimming and Selective Tree Removal
"BREWSTER COMPANIES, INC",6321 East Main St.,Maryville,IL,62062,(618) 344-4468,,,IDOT Subcontractor List (Dec 2025),14446,02/19/2026,"Aggregate Bases and Surfaces; Cold Milling, Planing and Roto Milling; Concrete Construction; Demolition; Drainage; Earthwork; Landscaping; Other; Sawing Cutting; Seeding & Sodding; Soil Stabilization and Modification; Tree Trimming and Selective Tree Removal"
BRIAN MOSER  DBA MOSER TRUCKING,2258 N 2600 EAST RD,STRAWN,IL,61775-4044,(217) 841-8757,,,IDOT Subcontractor List (Dec 2025),18212,03/03/2026,"Aggregate Bases and Surfaces; Cold Milling, Planing and Roto Milling; Concrete Construction; Demolition; Drainage; Earthwork; Landscaping; Other; Pavement Patching; Soil Stabilization and Modification"
BRUSH BUSTERS INC,2725 Old Metropolis Road,Vienna,IL,62995,(270) 217-0998,,,IDOT Subcontractor List (Dec 2025),17692,02/11/2026,Demolition; Earthwork; Fencing; Landscaping; Other; Seeding & Sodding; Soil Stabilization and Modification; Tree Trimming and Selective Tree Removal
BUCK CONSTRUCTION`,1165 Zola Road,Harrisburg,IL,62946,(618) 499-8286,,,IDOT Subcontractor List (Dec 2025),18067,02/10/2026,Drainage; Earthwork; Electrical; Fencing; Landscaping; Painting and Cleaning; Pavement Patching; Soil Stabilization and Modification
BUCKLEY'S PRAIRIE LANDSCAPING,3735 Chatham Road,Springfield,IL,62704,217-787-5033,,,IDOT Subcontractor List (Dec 2025),17505,02/10/2026,Landscaping; Other; Seeding & Sodding
BUDDY'S GROUNDS MAINTENANCE INC.,PO Bx 1125,Bloomington,IL,61702,(309) 824-9211,,,IDOT Subcontractor List (Dec 2025),11116,02/11/2026,Landscaping; Seeding & Sodding
BUDDY'S LANDSCAPE- CONSTRUCTION INC.,P.O. Box 607,Forest Park,IL,60130,(312) 504-1455,,,IDOT Subcontractor List (Dec 2025),13341,03/03/2026,Landscaping; Seeding & Sodding
BUNTJER BROS. INC.,23195 Hazel Road,Sterling,IL,61081,(815) 440-1057,,,IDOT Subcontractor List (Dec 2025),17160,02/28/2026,Landscaping; Seeding & Sodding; Soil Stabilization and Modification
BURNIN DAYLIGHT OUTDOORS LLC,3730 E Mozart Rd,Woodlawn,IL,62898,(618) 322-6790,,,IDOT Subcontractor List (Dec 2025),18337,05/23/2026,"Aggregate Bases and Surfaces; Concrete Construction; Demolition; Drainage; Earthwork; Fencing; Guardrail; Landscaping; Other; Painting and Cleaning; Sawing Cutting; Seeding & Sodding; Soil Stabilization and Modification; Steel, Reinforcement (Rebar Placement); Traffic Control; Tree Trimming and Selective Tree Removal; Vegetation Spraying"
"C & D RECYCLING SERVICES, INC.",850 Walter Drive,New Lenox,IL,60451,815-955-0902,,,IDOT Subcontractor List (Dec 2025),18103,02/20/2026,Concrete Construction; Demolition; Drainage; Earthwork; Landscaping; Other; Pavement Patching; Sawing Cutting; Seeding & Sodding; Tree Trimming and Selective Tree Removal
CARDINAL STATE LLC,1719 Spring Creek Road,Barrington Hills,IL,60010,(630) 320-9257,,,IDOT Subcontractor List (Dec 2025),16870,02/18/2026,Drainage; Earthwork; Landscaping; Seeding & Sodding; Soil Stabilization and Modification; Tree Trimming and Selective Tree Removal; Vegetation Spraying
CARSON EXCAVATING LLC,4736 E Golike Ln,Bethalto,IL,62010,(618) 781-5982,,,IDOT Subcontractor List (Dec 2025),16732,03/05/2026,Aggregate Bases and Surfaces; Concrete Construction; Demolition; Drainage; Earthwork; Landscaping; Sawing Cutting; Seeding & Sodding; Soil Stabilization and Modification; Tree Trimming and Selective Tree Removal
CARTER X LLC,7 Williamson Dr,Fairfield,IL,62837,(618) 842-2022,,,IDOT Subcontractor List (Dec 2025),16073,02/14/2026,Aggregate Bases and Surfaces; Demolition; Drainage; Earthwork; Fencing; Seeding & Sodding; Tree Trimming and Selective Tree Removal
